Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Check Credits,100,0,0,5,0.71,0.000%,13.46257,3.76,1.67,286.0
Add Credits,100,1,0,9,1.55,0.000%,13.47164,3.76,2.91,286.0
Check Submit_MS Status,100,0,0,2,0.52,0.000%,13.47346,4.58,1.62,348.0
Submit Problem,100,238,3,1046,169.91,0.000%,12.88826,4.57,42.56,363.0
Check Problem_ms Status,100,1,0,11,1.77,0.000%,13.37435,3.91,1.61,299.0
Get Problems List,100,5,3,20,3.13,0.000%,13.36720,3374.84,1.63,258530.8
Get Submitted problem info,200,1,0,12,1.49,0.000%,23.03882,46.62,3.64,2072.0
Check Generate_Result_MS Status,100,1,0,14,2.41,0.000%,13.37793,5.28,1.61,404.0
Solve Problem,100,1,0,18,2.53,0.000%,13.38688,3.84,3.43,294.0
Check Result_MS Status,100,1,0,15,2.23,0.000%,13.41922,3.92,1.61,299.0
Get Result,100,0,0,3,0.54,0.000%,13.50257,6.95,2.12,527.0
Check Analytics_MS Status,100,70,0,366,97.79,0.000%,13.22227,4.07,1.59,315.0
Request General Analytics,100,155,18,934,181.55,0.000%,12.95337,33.97,1.59,2685.6
Request Analytics for Problem,100,99,0,454,118.64,0.000%,13.03441,6.89,2.07,541.0
Request Analytics Logs,100,219,20,935,174.96,0.000%,13.16309,8938.51,1.54,695356.0
Delete problem,100,13,4,299,38.62,0.000%,13.55014,3.93,3.28,297.0
TOTAL,1700,47,0,1046,114.49,0.000%,131.44669,7286.47,44.35,56763.3
